time,microjax,vbmicrolensing,relative_difference
-5.000000000000000000e+00,2.494214612119946661e+00,2.494152055259920786e+00,2.508141389934466430e-05
-4.984984984984984990e+00,2.501727283532195312e+00,2.501663424765893762e+00,2.552652194110639937e-05
-4.969969969969969981e+00,2.509235948052861431e+00,2.509170818577878936e+00,2.595657278503193957e-05
-4.954954954954954971e+00,2.516737502113730152e+00,2.516671139605440644e+00,2.636916172524323806e-05
-4.939939939939939961e+00,2.524228693423065106e+00,2.524161142539244285e+00,2.676171607366838195e-05
-4.924924924924924952e+00,2.531706117996155747e+00,2.531637504138044115e+00,2.710256029920589551e-05
-4.909909909909909942e+00,2.539166217460544051e+00,2.539096531383652877e+00,2.744522550830262288e-05
-4.894894894894894932e+00,2.546605276799980278e+00,2.546534587527730320e+00,2.775900731769962790e-05
-4.879879879879879923e+00,2.554019422505251047e+00,2.553947588053754991e+00,2.812683072748462648e-05
-4.864864864864864913e+00,2.561404621184208974e+00,2.561331946379016955e+00,2.837383311240081088e-05
-4.849849849849849903e+00,2.568756678707346808e+00,2.568683261968055742e+00,2.858146832584399638e-05
-4.834834834834834894e+00,2.576071240024769615e+00,2.575997190814761417e+00,2.874584268656635012e-05
-4.819819819819819884e+00,2.583343789582015937e+00,2.583269229034239167e+00,2.886286374596901789e-05
-4.804804804804804874e+00,2.590569652547414226e+00,2.590494714055180392e+00,2.892825521983959086e-05
-4.789789789789789864e+00,2.597743996798960620e+00,2.597668826627166361e+00,2.893755009250364023e-05
-4.774774774774774855e+00,2.604861835897897659e+00,2.604786593716225784e+00,2.888612136341187821e-05
-4.759759759759759845e+00,2.611918032874025020e+00,2.611842892364656166e+00,2.876915360740737768e-05
-4.744744744744744835e+00,2.618907305296452659e+00,2.618832454590874992e+00,2.858170840461824667e-05
-4.729729729729729826e+00,2.625824231213131910e+00,2.625749873407767332e+00,2.831869330648550370e-05
-4.714714714714714816e+00,2.632663256506100335e+00,2.632589610032086469e+00,2.797491630796524443e-05
-4.699699699699699806e+00,2.639418703378928033e+00,2.639346002359356014e+00,2.754508863446867263e-05
-4.684684684684684797e+00,2.646084780257292213e+00,2.646013274774945412e+00,2.702385624005711651e-05
-4.669669669669669787e+00,2.652655593129411571e+00,2.652585549364103290e+00,2.640584592081194652e-05
-4.654654654654654777e+00,2.659125158271260947e+00,2.659056858583003446e+00,2.568568176232867515e-05
-4.639639639639639768e+00,2.665487416562417611e+00,2.665421159441541121e+00,2.485803064997490989e-05
-4.624624624624624758e+00,2.671736249366428062e+00,2.671672349238559452e+00,2.391765138671367373e-05
-4.609609609609609748e+00,2.677865495988481559e+00,2.677803929770702140e+00,2.299130907044802418e-05
-4.594594594594594739e+00,2.683868972749709592e+00,2.683810436104960395e+00,2.181102061520827267e-05
-4.579579579579579729e+00,2.689740402744428494e+00,2.689685346375875419e+00,2.046944585070463246e-05
-4.564564564564564719e+00,2.695473782543395203e+00,2.695422508313597643e+00,1.902270595404348857e-05
-4.549549549549549710e+00,2.701062917579096112e+00,2.701015812547024719e+00,1.743974687322299007e-05
-4.534534534534534700e+00,2.706501755367644702e+00,2.706459217815881946e+00,1.571704885953672235e-05
-4.519519519519519690e+00,2.711784339636119423e+00,2.711746777627711324e+00,1.385159142365000163e-05
-4.504504504504504681e+00,2.716904838609943251e+00,2.716872668261267165e+00,1.184094825344696067e-05
-4.489489489489489671e+00,2.721857574373507838e+00,2.721831218001115715e+00,9.683323571943648232e-06
-4.474474474474474661e+00,2.726637053504145758e+00,2.726616937456293410e+00,7.377658216674271839e-06
-4.459459459459459651e+00,2.731237998420207536e+00,2.731224550794914663e+00,4.923661545499401862e-06
-4.444444444444444642e+00,2.735655379595008263e+00,2.735649027699664781e+00,2.321897026689390128e-06
-4.429429429429429632e+00,2.739884448159674246e+00,2.739885615819229958e+00,4.261709134754634562e-07
-4.414414414414414622e+00,2.743920768756902273e+00,2.743929873472621406e+00,3.318129886318858178e-06
-4.399399399399399613e+00,2.747760252443077533e+00,2.747777702340559625e+00,6.350549197348649843e-06
-4.384384384384384603e+00,2.751399189075232954e+00,2.751425379846036634e+00,9.518982777263516540e-06
-4.369369369369369593e+00,2.754834279255615304e+00,2.754869590922637723e+00,1.281790874557997742e-05
-4.354354354354354584e+00,2.758062665179304318e+00,2.758107458843574999e+00,1.624072482276039232e-05
-4.339339339339339574e+00,2.761081960159010862e+00,2.761136574775147068e+00,1.977975904384720034e-05
-4.324324324324324564e+00,2.763890276603639506e+00,2.763955025715675973e+00,2.342625384061763601e-05
-4.309309309309309555e+00,2.766486251869558544e+00,2.766561420473695687e+00,2.717040857320747184e-05
-4.294294294294294545e+00,2.768869071827177564e+00,2.768954913345676783e+00,3.100141431898514996e-05
-4.279279279279279535e+00,2.771038491761728118e+00,2.771135225161461157e+00,3.490749886714883995e-05
-4.264264264264264526e+00,2.772994854235011797e+00,2.773102661386104284e+00,3.887600433753901375e-05
-4.249249249249249516e+00,2.774739103736689749e+00,2.774858126979196093e+00,4.289345150626382478e-05
-4.234234234234234506e+00,2.776272797715356067e+00,2.776403137749698935e+00,4.694564437371666257e-05
-4.219219219219219497e+00,2.777598113857178141e+00,2.777739827974151865e+00,5.101777911183199876e-05
-4.204204204204204487e+00,2.778717853430063389e+00,2.778764645855551052e+00,1.683929063854055016e-05
-4.189189189189189477e+00,2.779635440516066591e+00,2.779685541985889685e+00,1.802415023797978414e-05
-4.174174174174174468e+00,2.780354916998237780e+00,2.780408303537063031e+00,1.920097086364464832e-05
-4.159159159159159458e+00,2.780880933355299511e+00,2.780937567800351395e+00,2.036523426762163765e-05
-4.144144144144144448e+00,2.781218735282413590e+00,2.781278567339473540e+00,2.151242876659569754e-05
-4.129129129129129439e+00,2.781374145999502723e+00,2.781437112523801769e+00,2.263812617424670556e-05
