time,microjax,vbmicrolensing,relative_difference
-5.000000000000000000e+00,2.494149350986348601e+00,2.494152055259920786e+00,1.084245672384688491e-06
-4.984984984984984990e+00,2.501660714256833451e+00,2.501663424765893762e+00,1.083482707336792937e-06
-4.969969969969969981e+00,2.509168101747136337e+00,2.509170818577878936e+00,1.082760377445867536e-06
-4.954954954954954971e+00,2.516668416336883762e+00,2.516671139605440644e+00,1.082091543080260510e-06
-4.939939939939939961e+00,2.524158412705479915e+00,2.524161142539244285e+00,1.081481573566981099e-06
-4.924924924924924952e+00,2.531634694386182272e+00,2.531637504138044115e+00,1.109855521278396719e-06
-4.909909909909909942e+00,2.539093711063267200e+00,2.539096531383652877e+00,1.110757448886757981e-06
-4.894894894894894932e+00,2.546531756351859688e+00,2.546534587527730320e+00,1.111775934439954883e-06
-4.879879879879879923e+00,2.553944965970290859e+00,2.553947588053754991e+00,1.026678650884273921e-06
-4.864864864864864913e+00,2.561329316353401886e+00,2.561331946379016955e+00,1.026819510367323992e-06
-4.849849849849849903e+00,2.568680623792111817e+00,2.568683261968055742e+00,1.027053815075685091e-06
-4.834834834834834894e+00,2.575994544282296239e+00,2.575997190814761417e+00,1.027381735746779424e-06
-4.819819819819819884e+00,2.583266573915257158e+00,2.583269229034239167e+00,1.027813497783042860e-06
-4.804804804804804874e+00,2.590492050118440304e+00,2.590494714055180392e+00,1.028350579383386967e-06
-4.789789789789789864e+00,2.597666153606915440e+00,2.597668826627166361e+00,1.029007325152880988e-06
-4.774774774774774855e+00,2.604783911376437722e+00,2.604786593716225784e+00,1.029773339026510680e-06
-4.759759759759759845e+00,2.611840200392918643e+00,2.611842892364656166e+00,1.030679044820222596e-06
-4.744744744744744835e+00,2.618829752716142600e+00,2.618832454590874992e+00,1.031709656589532484e-06
-4.729729729729729826e+00,2.625747161310661770e+00,2.625749873407767332e+00,1.032884789609380572e-06
-4.714714714714714816e+00,2.632586887404467113e+00,2.632589610032086469e+00,1.034201308468564931e-06
-4.699699699699699806e+00,2.639343268872451187e+00,2.639346002359356014e+00,1.035668268723867977e-06
-4.684684684684684797e+00,2.646010530065344479e+00,2.646013274774945412e+00,1.037300011718946046e-06
-4.669669669669669787e+00,2.652582793084233614e+00,2.652585549364103290e+00,1.039091791153123130e-06
-4.654654654654654777e+00,2.659054090368330403e+00,2.659056858583003446e+00,1.041051327694666772e-06
-4.639639639639639768e+00,2.665418378904320207e+00,2.665421159441541121e+00,1.043188694989201379e-06
-4.624624624624624758e+00,2.671669555985010547e+00,2.671672349238559452e+00,1.045507526288214152e-06
-4.609609609609609748e+00,2.677801476517405188e+00,2.677803929770702140e+00,9.161437361705605094e-07
-4.594594594594594739e+00,2.683807971934478065e+00,2.683810436104960395e+00,9.181611522110886117e-07
-4.579579579579579729e+00,2.689682783261906796e+00,2.689685346375875419e+00,9.529419387575869009e-07
-4.564564564564564719e+00,2.695419913713554827e+00,2.695422508313597643e+00,9.625949307809871766e-07
-4.549549549549549710e+00,2.701013184684409651e+00,2.701015812547024719e+00,9.729164127290737234e-07
-4.534534534534534700e+00,2.706456555087417115e+00,2.706459217815881946e+00,9.838420794603544377e-07
-4.519519519519519690e+00,2.711744078619677811e+00,2.711746777627711324e+00,9.953023843451707875e-07
-4.504504504504504681e+00,2.716869931838539198e+00,2.716872668261267165e+00,1.007195795347365206e-06
-4.489489489489489671e+00,2.721828443308925483e+00,2.721831218001115715e+00,1.019421105865060287e-06
-4.474474474474474661e+00,2.726614124024993924e+00,2.726616937456293410e+00,1.031839588773046149e-06
-4.459459459459459651e+00,2.731221698550352350e+00,2.731224550794914663e+00,1.044309799237247335e-06
-4.444444444444444642e+00,2.735646137032247349e+00,2.735649027699664781e+00,1.056666037259521917e-06
-4.429429429429429632e+00,2.739882687616794765e+00,2.739885615819229958e+00,1.068731635469145626e-06
-4.414414414414414622e+00,2.743926909131439995e+00,2.743929873472621406e+00,1.080326873535976852e-06
-4.399399399399399613e+00,2.747774703836394217e+00,2.747777702340559625e+00,1.091246996747150865e-06
-4.384384384384384603e+00,2.751422349685960445e+00,2.751425379846036634e+00,1.101305562704035152e-06
-4.369369369369369593e+00,2.754866532176718064e+00,2.754869590922637723e+00,1.110305159176406215e-06
