mag,err
13.4,0.00101
13.5,0.00102
13.6,0.00102
13.7,0.00102
13.8,0.00102
13.9,0.00103
14.0,0.00106
14.1,0.00106
14.2,0.00107
14.3,0.00107
14.4,0.00109
14.5,0.00109
14.6,0.0011
14.7,0.00111
14.8,0.00112
14.9,0.00112
15.0,0.00113
15.1,0.00114
15.2,0.00116
15.3,0.00117
15.4,0.00118
15.5,0.0012
15.6,0.00121
15.7,0.00124
15.8,0.00125
15.9,0.00127
16.0,0.00129
16.1,0.00131
16.2,0.00134
16.3,0.00137
16.4,0.0014
16.5,0.00143
16.6,0.00147
16.7,0.0015
16.8,0.00154
16.9,0.00159
17.0,0.00162
17.1,0.00168
17.2,0.00173
17.3,0.00178
17.4,0.00184
17.5,0.00191
17.6,0.00198
17.7,0.00204
17.8,0.00211
17.9,0.00219
18.0,0.00229
18.1,0.00237
18.2,0.00245
18.3,0.00256
18.4,0.00266
18.5,0.00277
18.6,0.00288
18.7,0.003
18.8,0.00313
18.9,0.00326
19.0,0.00341
19.1,0.00355
19.2,0.00372
19.3,0.00387
19.4,0.00406
19.5,0.00425
19.6,0.00444
19.7,0.00464
19.8,0.00486
19.9,0.00507
20.0,0.00534
20.1,0.00563
20.2,0.00588
20.3,0.00619
20.4,0.00649
20.5,0.00681
20.6,0.00717
20.7,0.00755
20.8,0.00793
20.9,0.00835
21.0,0.00884
21.1,0.00931
21.2,0.00986
21.3,0.0103
21.4,0.011
21.5,0.0116
21.6,0.0123
21.7,0.0129
21.8,0.0137
21.9,0.0146
22.0,0.0154
22.1,0.0164
22.2,0.0175
22.3,0.0184
22.4,0.0196
22.5,0.0211
22.6,0.0225
22.7,0.0241
22.8,0.0258
22.9,0.0276
23.0,0.0296
23.1,0.0317
23.2,0.0339
23.3,0.0365
23.4,0.0394
23.5,0.0425
23.6,0.0457
23.7,0.0495
23.8,0.0532
23.9,0.0578
24.0,0.0649
24.1,0.0678
24.2,0.0732
24.3,0.0799
24.4,0.0861
24.5,0.0944
24.6,0.102
24.7,0.111
24.8,0.121
24.9,0.131
25.0,0.143
25.1,0.157
25.2,0.172
25.3,0.187
25.4,0.203
25.5,0.223
25.6,0.245
25.7,0.266
25.8,0.29
25.9,0.318
26.0,0.348
26.1,0.382
26.2,0.418
26.3,0.458
26.4,0.502
26.5,0.549
26.6,0.6
26.7,0.656
26.8,0.706
26.9,0.712
