rho,npts,time_mj_mean,time_mj_std
0.1,10,0.045540475845336915,0.0002742511660420357
0.1,30,0.13425538539886475,0.0004444179290244581
0.1,100,0.43888387680053714,0.0013426203455879603
0.1,300,1.3392831563949585,0.05012766132478735
0.01,10,0.04623072147369385,0.00021009358204805695
0.01,30,0.13576860427856446,0.0002931803282970389
0.01,100,0.44474382400512696,0.0004121141078526285
0.01,300,1.3334184408187868,0.0010772143433758676
0.001,10,0.046514821052551274,0.00018568160935154466
0.001,30,0.13659160137176515,0.00048252655060644195
0.001,100,0.4453744173049927,0.0006206480565169442
0.001,300,1.3399213790893556,0.0017008815929237763
