rho,npts,time_mj_mean,time_mj_std
0.1,10,0.04104959964752197,0.011532597564387546
0.1,30,0.09221131801605226,0.000988861997197545
0.1,100,0.29830753803253174,0.0009580092568031688
0.1,300,0.897374153137207,0.0021790257630575362
0.01,10,0.02973771095275879,0.00016681417238216645
0.01,30,0.0861013412475586,0.00016132496918642327
0.01,100,0.2784834623336792,0.0005438832934155576
0.01,300,0.8384832620620728,0.0016304014832004472
0.001,10,0.02923281192779541,0.0001771294422039851
0.001,30,0.08566884994506836,0.00035669844654575466
0.001,100,0.27584328651428225,0.0003688250067869347
0.001,300,0.8301462411880494,0.0010868978636761398
